item_id,split,provenance,question,reference_answer,model_answer,human_answer,human_rating,human_note,human_status,judge_rating
56dddf4066d3e219004dad5f,calibration,public-reused,Хто був герцогом під час битви при Гастінгсі?,Вільгельма Завойовника,Вільгельм Завойовник.,,5,,rated,1.0
56dde0379a695914005b9636,calibration,public-reused,Яке первісне значення слова Norman?,"Нордман, вікінг","Початкове значення слова ""Норман"" походить від Староніжньофранкського Nortmann, що означало ""Північний чоловік"".",,5,,rated,1.0
56dde27d9a695914005b9651,calibration,public-reused,Яку релігію сповідували нормандці?,католицизмом,"Нормани сповідували християнську релігію, зокрема католицтво.",,5,,rated,0.95
56dde2fa66d3e219004dad9b,calibration,public-reused,Що було одним із головних експортних товарів норманів?,бойових вершників,Бойові вершники.,,5,,rated,0.85
56de15104396321400ee25b7,calibration,public-reused,У якому місті нормани та візантійці уклали мирний договір?,Діаболіс,Договір уклали в місті Діаболіс.,,5,,rated,1.0
56de1563cffd8e1900b4b5c2,calibration,public-reused,Коли нормани напали на Диррахій?,1185,1185 рік.,,5,,rated,0.9
56de1728cffd8e1900b4b5d7,calibration,public-reused,На яку мову врешті-решт перетворилася англо-нормандська мова?,Сучасну англійську,Англо-нормандська мова врешті-решт перетворилася на англійську.,,5,,rated,1.0
56de17f9cffd8e1900b4b5e0,calibration,public-reused,Хто був братом Маргарет?,Едгар,Малкольм III Шотландії.,,1,,rated,1.0
56de3cd0cffd8e1900b4b6be,calibration,public-reused,З ким одружився Олександр I?,Сибіллою з Нормандії,Сибіллою з Нормандії.,,5,,rated,1.0
56de3dbacffd8e1900b4b6d2,calibration,public-reused,Яка країна була під владою нормандських баронів?,Уельс,Марші.,,2,,rated,0.55
56de3efccffd8e1900b4b6fe,calibration,public-reused,Протягом скількох років західноєвропейські сили контролювали Кіпр?,380 років,380 років.,,5,,rated,1.0
56de3f784396321400ee26fa,calibration,public-reused,Що завадило Річарду дістатися до Акри?,шторм,Шторм розгромив флот Річарда Левіна Серце.,,5,,rated,1.0
56de40da4396321400ee2708,calibration,public-reused,Хто був суперником Гія?,Конрада з Монферрату,Конрад з Монферрату.,,5,,rated,1.0
56de49a8cffd8e1900b4b7a7,calibration,public-reused,Хто став королем Канарських островів?,Бетенкурт,Бетенкурт.,,5,,rated,1.0
56de4a89cffd8e1900b4b7bd,calibration,public-reused,Який архітектурний ідіом був характерний для норманів?,романський,Романський ідіом.,,5,,rated,1.0
56e17644e3433e1400422f40,calibration,public-reused,Які дві галузі теоретичної інформатики тісно пов'язані з теорією обчислювальної складності?,аналіз алгоритмів та теорія обчислювальності,Аналіз алгоритмів та теорія обчислювальності.,,5,,rated,1.0
56e17a7ccd28a01900c679a1,calibration,public-reused,Як називається вхідний рядок обчислювальної проблеми?,екземпляром проблеми,екземпляр,,5,,rated,1.0
56e181d9e3433e1400422fa0,calibration,public-reused,Що в обчислювальній проблемі можна описати як рядок над алфавітом?,екземпляр проблеми,екземпляр проблеми.,,5,,rated,0.85
56e1a0dccd28a01900c67a2e,calibration,public-reused,Як зазвичай можна переформулювати функціональні проблеми?,проблеми прийняття рішення,"Проблеми, які можуть бути вирішені за поліноміальний час, але на практиці займають надто багато часу для того, щоб їх розв'язки були корисними, відомі як невирішувані проблеми.",,3,,rated,0.6
56e1a564cd28a01900c67a48,calibration,public-reused,"Чия теза стверджує, що проблему можна вирішити за допомогою прийнятної кількості ресурсів, якщо для неї існує поліноміальний алгоритм часу?",Теза Кобгема,Теза Кобгема.,,5,,rated,1.0
56e1b00ce3433e140042309e,calibration,public-reused,Turing machines are commonly employed to define what? ,класів складності,Проблеми.,,2,,rated,0.6
56e1b355e3433e14004230b0,calibration,public-reused,"Яку машину Тьюрінга можна охарактеризувати як таку, що перевіряє кілька можливостей одночасно?",недетермінована,Недетерміністична машина Тьюрінга.,,5,,rated,1.0
56e1b8f3e3433e14004230e6,calibration,public-reused,Якими трьома основними виразами позначають складність за випадками?,"Найкращий, найгірший та середній","Найкращий, найгірший та середній випадки служать трьома різними способами вимірювання часової складності (або будь-якої іншої міри складності).",,5,,rated,1.0
56e1bd4acd28a01900c67afc,calibration,public-reused,Яке позначення зазвичай використовують для вираження верхніх або нижніх меж?,великої O-нотації,Окремі інтерфейси.,,1,,rated,0.05
56e1c0f6cd28a01900c67b2c,calibration,public-reused,"Що має складні визначення, які не вписуються в ці рамки?",класи складності,"Класи складності, які мають складні визначення, які не вписуються в ці рамки.",,5,,rated,0.9
56e1c2eee3433e1400423134,calibration,public-reused,Від чого часто залежать класи складності при конкретному обмеженні часу обчислення?,обраної моделі машини,Залежать від моделі машини.,,5,,rated,0.55
56e1c720e3433e140042316a,calibration,public-reused,"Який приклад міри в класі складності, послаблення межі якої призвело б до збільшення множини задач?",часу обчислення,Інформація недостатня.,,2,,rated,0.55
56e1c9bfe3433e1400423192,calibration,public-reused,Яке поняття часто використовується для визначення класів складності?,Редукція,Редукція.,,5,,rated,1.0
56e1ddfce3433e14004231d5,calibration,public-reused,"Якщо зрештою доведуть, що P = NP, який вплив це матиме на ефективність розв'язування проблем?",більш ефективні рішення,"Якщо доведуть, що P = NP, то це означає, що всі проблеми в класі NP можуть бути вирішені за поліноміальний час. Це мав би значний вплив на ефективність розв'язування проблем у багатьох областях, зокрема:* Цілочисельне програмування: багато проблем у цій області можуть бути вирішені за поліноміальний час, що означало б значовий прогрес у розробці алгоритмів для цих проблем.* Логістика: розв'язання логістичних проблем за поліноміальний час могло би суттєвно вплинути на розвиток логістичної теорії та її застосуванню в реальній-life.* Біологія: розв'язання проблем у галузі структури білків міг би суттєвно вплинути на розвиток біології та розробку нових методів дослідження білкових молекул.* Теорія чистої математики: розв'язання формальних доказів за поліноміальний час могло б суттєвно вплинути на розвиток теорії чистої математики та її застосуванню в інших областях.Однако, якщо P не дорівнює NP, то багато проблем у класі NP будуть залишатися невирішуваними за поліноміальний час. Це означало б, що розв'язання цих проблем буде вимагати значного часу та ресурсів, що може бути суттєвим для багатьох областей.",,5,,rated,0.9
56e1ee4de3433e1400423210,calibration,public-reused,Яке непідтверджене припущення зазвичай приписують співвідношенню між класами складності?,"підозрюються у тому, що вони неоднакові",Повноцільна інформація відсутня.,,2,,rated,0.55
56e1efa0e3433e140042321a,calibration,public-reused,До якого класу складності належать проблеми‑доповнення задач класу NP?,спів-NP,Проблеми-доповнення задач класу NP належать до класу спів-NP.,,5,,rated,1.0
56e1f10ee3433e1400423222,calibration,public-reused,"Яка множина позначає всі проблеми, які можуть бути вирішені в логарифмічному просторі?",L,Інформація недостатня.,,2,,rated,0.55
56e1febfe3433e1400423236,calibration,public-reused,"Яка епонімна варіація арифметики містить задачу прийняття рішення, доведено не належну до класу P?",пресбургерській арифметиці,Інформації недостатньо.,,2,,rated,0.55
56e202e9e3433e1400423240,calibration,public-reused,Яка стаття загалом вважається початком систематичних досліджень у галузі обчислювальної складності?,Про обчислювальну складність алгоритмів,"Стаття Юріса Гартманіса та Річарда Стернса ""Про обчислювальну складність алгоритмів"" (1965) вважається початком систематичних досліджень у галузі обчислювальної складності.",,5,,rated,1.0
56e2042ecd28a01900c67c1e,calibration,public-reused,Хто в 1960 році дав визначення лінійно обмежених автоматів?,Джона Міхіла,Джон Міхіл.,,5,,rated,1.0
56e20a27cd28a01900c67c24,calibration,public-reused,Який конкретний вибір зазвичай передбачають більшість теорем у теорії складності?,кодування вводу,Кодування вводу.,,5,,rated,0.8
56e20a3ae3433e140042324a,calibration,public-reused,Хто розробив аксіоматичну теорію складності?,Мануель Блум,Мануель Блум.,,5,,rated,1.0
5705e4fe75f01819005e7704,calibration,public-reused,"Як називається водойма, що розташована на сході?",річка Колорадо,Колорадо.,,5,,rated,0.1
5705e99452bb891400689688,calibration,public-reused,"Орандж, Сан-Дієго, Ріверсайд і Сан-Бернардіно становлять чотири з п'яти округів — як називається п'ятий округ?",Лос-Анджелес,Соґал.,,1,,rated,0.55
5705ec1675f01819005e776e,calibration,public-reused,"Окрім серфінгу, яка ще культура притаманна Південній Каліфорнії?",скейтбордингу,Окрім серфінгу Південної Каліфорнії також притамана скейтбордингу та сноуборду.,,4,,rated,0.8
